id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,9/7/08,"Washington, District of Columbia, United States",within an hour,100%,f,Shaw,5,5,t,t,20001,38.91046,-77.01933,t,Townhouse,Entire home/apt,16,3.5,4,6,Real Bed,$433.00 ,,,$500.00 ,$202.00 ,8,$24.00 ,2,365,2,2,365,365,2,365,a week ago,102,175,21,1/21/09,10/24/19,95,9,9,10,10,10,9,f,t,f,strict_14_with_grace_period,f,f,5,1.31
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,11/25/08,"Washington, District of Columbia, United States",N/A,N/A,f,,1,1,t,f,20009,38.91842,-77.0275,f,Townhouse,Private room,2,1,1,1,Real Bed,$75.00 ,$600.00 ,,$500.00 ,$25.00 ,1,$0.00 ,2,30,2,2,30,30,2,30,18 months ago,0,79,0,3/18/15,7/25/18,87,9,9,9,9,10,9,f,f,f,strict_14_with_grace_period,f,f,1,1.34
3686,Vita's Hideaway,4645,11/26/08,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Anacostia,2,2,t,t,20020,38.86314,-76.98836,f,House,Private room,1,1,1,1,Real Bed,$55.00 ,$430.00 ,$975.00 ,$0.00 ,$0.00 ,1,$0.00 ,2,365,2,2,365,365,2,365,8 months ago,292,71,3,11/1/10,8/5/19,92,9,9,10,10,8,9,f,f,f,moderate,f,f,2,0.63
3771,Mt. Pleasant,4795,12/3/08,"Washington, District of Columbia, United States",N/A,N/A,f,Mt. Pleasant,1,1,t,f,20009,38.9276,-77.03926,t,Other,Private room,2,1,1,1,Real Bed,$88.00 ,,,,,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,42 months ago,0,1,0,1/21/09,1/21/09,,,,,,,,f,f,f,moderate,f,f,1,0.01
4197,Bedroom in DC 2 blocks to Metro,5061,12/12/08,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Capitol Hill,2,2,t,t,20003,38.88791,-76.99668,t,House,Private room,2,1.5,1,1,Real Bed,$83.00 ,,,,$35.00 ,1,$10.00 ,7,365,7,7,365,365,7,365,6 weeks ago,240,43,6,5/14/09,12/20/19,97,10,10,10,10,10,10,f,f,f,moderate,f,f,2,0.33
4501,DC Rowhouse,1585,8/8/08,"Washington, District of Columbia, United States",N/A,N/A,f,Shaw,1,1,t,t,20001,38.91331,-77.02436,t,House,Private room,2,2.5,1,1,Real Bed,$475.00 ,,,,,2,$50.00 ,2,365,2,2,365,365,2,365,33 months ago,0,120,0,1/21/09,7/16/15,98,10,10,10,10,9,10,f,f,f,strict_14_with_grace_period,f,f,1,0.9
4529,Bertina's  House Part One,5803,12/30/08,"Washington, District of Columbia, United States",within a few hours,100%,f,Eastland Gardens,3,3,t,t,20019,38.90645,-76.94305,t,House,Private room,4,1,1,1,Real Bed,$52.00 ,,,$200.00 ,$55.00 ,2,$10.00 ,30,180,30,30,180,180,30,180,5 weeks ago,179,102,3,8/8/09,7/5/19,93,10,9,10,10,9,10,f,f,f,strict_14_with_grace_period,t,t,2,0.8
4967,"DC, Near Metro",7086,1/26/09,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Ivy City,5,5,t,t,20002,38.91263,-76.99221,t,House,Private room,1,3,1,1,Real Bed,$99.00 ,$600.00 ,"$1,500.00 ",,,1,$0.00 ,2,365,2,2,365,365,2,365,8 months ago,365,31,0,11/4/10,9/22/16,95,9,10,10,10,8,9,f,f,f,moderate,f,f,3,0.28
5589,Cozy apt in Adams Morgan,6527,1/13/09,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Adams Morgan,4,4,t,t,20009,38.91933,-77.04124,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,$118.00 ,$650.00 ,"$2,500.00 ",$100.00 ,$13.00 ,1,$8.00 ,3,17,3,6,1125,1125,4,1125,2 days ago,114,93,13,9/22/09,12/14/19,91,10,8,10,10,10,9,f,f,f,moderate,f,f,2,0.74
7103,"Best of Washington - Great neighborhood, parking",17633,5/18/09,"Washington, District of Columbia, United States",within an hour,98%,f,Berkley,54,54,t,t,20007,38.91988,-77.09796,t,Guest suite,Entire home/apt,2,1,1,2,Real Bed,$99.00 ,$506.00 ,"$1,517.00 ",$0.00 ,$35.00 ,1,$15.00 ,3,365,2,5,365,365,3,365,4 months ago,0,185,97,3/21/10,1/16/20,97,10,10,10,10,10,10,f,t,f,moderate,f,t,50,1.55
