id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
3686,Vita's Hideaway,4645,11/26/08,"Washington D.C., District of Columbia, United States",within a day,67%,f,Anacostia,2,2,t,t,"Washington, District of Columbia, United States",38.86314,-76.98836,Private room in house,Private room,1,,1 private bath,1,1,$55.00 ,2,365,2,2,365,365,2,365,,365,72,1,0,11/1/10,4/1/20,92,9,9,10,10,8,9,f,2,0.6
3943,Historic Rowhouse Near Monuments,5059,12/12/08,"Washington, District of Columbia, United States",within a few hours,100%,f,Eckington,0,0,t,t,"Washington, District of Columbia, United States",38.91066,-77.00438,Private room in townhouse,Private room,2,,1 shared bath,1,1,$80.00 ,27,1125,27,27,1125,1125,27,1125,,101,429,0,0,5/10/09,8/7/18,96,10,10,10,10,9,9,f,2,3.1
4197,Bedroom in DC 2 blocks to Metro,5061,12/12/08,"Washington D.C., District of Columbia, United States",N/A,N/A,t,Capitol Hill,2,2,t,t,"Washington, District of Columbia, United States",38.88791,-76.99668,Private room in house,Private room,2,,1.5 shared baths,1,1,$76.00 ,28,365,28,28,1125,1125,28,1125,,324,45,3,0,5/14/09,3/14/20,97,10,10,10,10,10,10,f,2,0.33
4967,"DC, Near Metro",7086,1/26/09,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Ivy City,5,5,t,t,,38.91263,-76.99221,Private room in house,Private room,1,,3 baths,1,1,$99.00 ,2,365,2,2,365,365,2,365,,83,31,0,0,11/4/10,9/22/16,95,9,10,10,10,8,9,f,3,0.26
5589,Cozy apt in Adams Morgan,6527,1/13/09,"Washington D.C., District of Columbia, United States",N/A,N/A,t,Adams Morgan,4,4,t,t,"Washington, District of Columbia, United States",38.91933,-77.04124,Entire apartment,Entire home/apt,3,,1 bath,1,1,$76.00 ,7,30,7,60,30,30,22.8,30,,109,95,5,0,9/22/09,3/5/20,91,10,8,10,10,10,9,f,2,0.71
7103,"Best of Washington - Great neighborhood, parking",17633,5/18/09,"Washington, District of Columbia, United States",within a few hours,92%,f,Berkley,53,53,t,t,"Washington, District of Columbia, United States",38.91988,-77.09796,Entire guest suite,Entire home/apt,2,,1 bath,1,2,$106.00 ,3,365,3,4,365,365,3.1,365,,0,90,52,0,5/17/19,6/30/20,97,10,10,10,10,10,10,t,48,5.43
9097,Adams Morgan Charm,6527,1/13/09,"Washington D.C., District of Columbia, United States",N/A,N/A,t,Adams Morgan,4,4,t,t,"Washington, District of Columbia, United States",38.91966,-77.04306,Private room in apartment,Private room,1,,1 shared bath,1,0,$42.00 ,2,7,2,2,1125,1125,2,1125,,20,112,9,0,10/25/09,10/30/19,97,10,9,10,10,10,10,f,2,0.84
9641,Sophisticated Logan Circle Loft,32067,8/17/09,"Washington D.C., District of Columbia, United States",within a few hours,89%,f,Logan Circle,4,4,t,t,"Washington, District of Columbia, United States",38.91146,-77.03636,Entire loft,Entire home/apt,4,,1 bath,1,2,$185.00 ,2,180,2,2,180,180,2,180,,83,153,3,0,3/22/10,2/16/20,95,10,10,10,10,10,9,f,2,1.2
11785,Sanctuary near Cathedral,32015,8/16/09,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Cathedral Heights,4,4,t,t,"Washington, District of Columbia, United States",38.92828,-77.07638,Entire apartment,Entire home/apt,4,,1 bath,1,3,$101.00 ,1,365,1,1,365,365,1,365,,276,391,26,0,1/12/10,8/11/20,92,9,9,10,10,10,9,f,4,3
12442,Peaches & Cream near Cathedral,32015,8/16/09,"Washington D.C., District of Columbia, United States",within an hour,100%,f,Cathedral Heights,4,4,t,t,"Washington, District of Columbia, United States",38.92744,-77.07496,Private room in house,Private room,2,,1.5 shared baths,1,1,$69.00 ,1,365,1,1,365,365,1,365,,365,94,10,0,3/12/10,8/16/20,93,9,9,10,10,10,9,t,4,0.73
